Lex,Fluted,Hibrid,Vampire
0,0.00,0.00,0.00
1,0.00,0.04,0.00
2,0.04,0.04,0.12
3,0.04,2.00,0.08
4,0.00,0.04,94131.32
5,6829.70,13639.25,81517.64
6,87.20,12058.20,40778.04
7,12023.48,12008.00,40001.24
8,969.44,32.32,169826.24
9,61200.00,46639.68,112962.04
10,26407.40,40713.48,65772.88
11,24010.24,12046.52,40001.32
12,67220.56,73275.92,240539.40
13,97220.72,131142.32,219865.00
14,62096.72,75876.20,108004.72
15,71322.24,59957.20,92570.68
16,46331.48,61214.20,209351.24
17,96062.08,123191.64,194425.60
18,83813.84,69792.32,115768.44
19,100047.78,88922.70,118518.52
20,0.00,0.00,36002.36
21,0.00,0.00,0.00
22,0.00,0.00,12000.04
23,0.00,0.00,4.16
24,4.32,2.08,98868.12
25,0.08,0.04,85433.96
26,7.12,5512.16,36000.48
27,10761.56,12006.28,28609.12
28,0.04,0.04,118342.52
29,12000.40,47081.60,124189.96
30,29473.64,36193.28,92089.52
31,12064.76,36035.32,48000.48
32,12009.20,67261.72,190405.16
33,26290.96,41464.00,153994.48
34,48072.32,33680.08,87779.16
35,38222.57,30261.00,69513.80
36,73634.52,109030.88,280400.00
37,115447.92,132874.12,209985.52
38,102439.08,141977.60,223117.40
39,63763.97,70049.36,94849.09
40,0.00,0.00,36000.00
41,0.00,0.00,1.60
42,0.04,0.00,0.24
43,0.04,12000.00,16000.00
44,0.08,0.04,113176.56
45,1.36,3103.20,100810.04
46,10000.03,164.17,73771.80
47,15675.68,89.68,84946.12
48,13862.44,26400.04,122116.28
49,24003.76,12002.44,131314.44
50,12280.48,33541.92,126400.00
51,10486.44,9420.48,71993.72
52,12000.44,49200.12,205600.00
53,67745.92,88234.52,236296.96
54,47531.28,52329.72,151209.80
55,85207.48,85962.24,157795.92
56,24252.44,49200.00,236800.00
57,89267.80,94695.28,244693.56
58,99979.76,110650.96,192456.88
59,97276.44,111958.92,166410.16
